title,featured,categories,types,images,one_liner,teaser_text,body,variants
Green Salad,1,"Appetizers","Dairy free, Organic",appetizers-1.jpg,"fresh herbs, quinoa, and potato","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
Steamed Vegetables,0,"Appetizers","Nuts free, Sugar free",appetizers-2.jpg,"with carrot, beetroot, mixed leaves","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
Onion Rings,0,"Appetizers","Vegan, Vegetarian",appetizers-3.jpg,"with bbq sauce","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
Veggie Brunch,1,"Breakfast","Dairy free, Gluten free",breakfast-1.jpg,"scrambled, poached or fried eggs","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
Mexican Breakfast,0,"Breakfast","Nuts free, Gluten free",breakfast-2.jpg,"scrambled, poached or fried eggs","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
Avocado Toast,0,"Breakfast","Vegan, Vegetarian",breakfast-3.jpg,"scrambled, poached or fried eggs","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
Green Veggie Salad,1,"Dinner","Nuts free, Gluten free",dinner-1.jpg,"aperiam mauris magni sagittis","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
Grilled Salmon,0,"Dinner","Organic",dinner-2.jpg,"aperiam mauris magni sagittis","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
Vegan Dolorum,0,"Dinner","Vegan, Vegetarian",dinner-3.jpg,"aperiam mauris magni sagittis","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
Consequat Mattis,0,"Drinks","Organic, Alcohol free",drinks-1.jpg,"rich & smooth steamed milk","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
White Mochaccino,1,"Drinks","Sugar free, Alcohol free",drinks-2.jpg,"creamy mocha with chocolate sauce","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
Dictum Dolorum,0,"Drinks","Dairy free, Alcohol free",drinks-3.jpg,"aperiam mauris magni sagittis","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
Explicabo fuga pulvinar,1,"Grilled","Organic, Alcohol free",grilled-1.jpg,"aperiam mauris magni sagittis","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
Aliquid quasi iste,0,"Grilled","Gluten free, Nuts free",grilled-2.jpg,"aperiam mauris magni sagittis","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
Officiis vitae,0,"Grilled","Dairy free, Alcohol free",grilled-3.jpg,"aperiam mauris magni sagittis","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
Magna Inventore,1,"Lunch","Organic, Alcohol free",lunch-1.jpg,"aperiam mauris magni sagittis","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
Rhagellus Veggies,0,"Lunch","Gluten free, Nuts free",lunch-2.jpg,"aperiam mauris magni sagittis","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
Assumenda,0,"Lunch","Dairy free, Alcohol free",lunch-3.jpg,"aperiam mauris magni sagittis","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
Green Soup,1,"Soup","Vegan, Nuts free",soup-1.jpg,"aperiam mauris magni sagittis","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
Mexican Veggies,0,"Soup","Gluten free, Nuts free",soup-2.jpg,"aperiam mauris magni sagittis","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
Steamed Assumenda,0,"Soup","Dairy free, Vegetarian",soup-3.jpg,"aperiam mauris magni sagittis","Consequat mattis orci dictum dolorum explicabo inceptos aperiam in aliquid.","Aliquid quasi iste, ullam consequuntur vitae do dicta, nibh consequat, velit, est!<br />Interdum aliquid, id, justo interdum veritatis nostrum, quia ab facilisis platea similique dolorum, mollit alias ducimus aliquid, dignissimos."
